compound_id,source_sheet,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
P-CII-001,1-compounds-pens,CJC (no DAC)/Ipamorelin,GH Pathway Research Blend,Pen,CJC (no DAC)/Ipamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1,#CJC1295 #Ipamorelin #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,11,,1,Mechanism Carousel,,,,,,,
V-CII-001,1-compounds-vials,CJC (no DAC)/Ipamorelin,GH Pathway Research Blend,Vial,CJC (no DAC)/Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#CJC1295 #Ipamorelin #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,12,,1,Mechanism Carousel,,,,,,,
P-DSI-001,1-compounds-pens,DSIP,Neurological Research Peptide,Pen,DSIP laboratory research material — pre-filled research format,In-vitro laboratory research material,DSIP neuropeptide,FAQ,https://www.palmbeach-vitality.store/products/dsip-pen,#DSIP #PeptidePen #SleepResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,13,,1,FAQ Slide,,,,,,,
P-GHK-001,1-compounds-pens,GHK-Cu,Cosmetic Research Peptide,Pen,GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,GHK copper peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ghk-cu-pen,#GHKCu #PeptidePen #CopperPeptide #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Cosmetic research framing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,14,,1,3-Bullet Benefits,,,,,,,
V-GHK-001,1-compounds-vials,GHK-Cu,Cosmetic Research Peptide,Vial,GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,GHK copper peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ghk-cu,#GHKCu #CopperPeptide #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Cosmetic research framing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,15,,1,3-Bullet Benefits,,,,,,,
P-KPV-001,1-compounds-pens,KPV,Immune Research Peptide,Pen,KPV laboratory research material — pre-filled research format,In-vitro laboratory research material,KPV tripeptide,FAQ,https://www.palmbeach-vitality.store/products/kpv,#KPV #PeptidePen #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Also in KLOW blend — separate pen spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,16,,1,FAQ Slide,,,,,,,
P-KLO-001,1-compounds-pens,KPV / BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Pen,KPV / BPC-157 / TB-500 / GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,KPV/BPC-157/TB-500/GHK blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/klow-pen,#PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,17,,1,Hero Spotlight,,,,,,,
V-KLO-001,1-compounds-vials,KPV / BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Vial,KPV / BPC-157 / TB-500 / GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,KPV/BPC-157/TB-500/GHK blend,Mechanism,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,#PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — do not split into separate posts; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,18,,1,Mechanism Carousel,,,,,,,
V-MT2-001,1-compounds-vials,Melanotan 2,Specialty Research Peptide,Vial,Melanotan 2 laboratory research material — research vial format,In-vitro laboratory research material,Melanocortin receptor agonist,Trust / Quality,https://www.palmbeach-vitality.store/products/melonotan,#Melanotan2 #PeptideResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site slug uses melonotan spelling,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,19,,1,TikTok Reel Frame,,,,,,,
P-MOT-001,1-compounds-pens,MOTS-C,Metabolic Research Peptide,Pen,MOTS-C laboratory research material — pre-filled research format,In-vitro laboratory research material,Mitochondrial-derived peptide,Mechanism,https://www.palmbeach-vitality.store/products/mots-c,#MOTSC #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Verify this is the pen listing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,20,,1,Mechanism Carousel,,,,,,,
V-MOT-001,1-compounds-vials,MOTS-C,Metabolic Research Peptide,Vial,MOTS-C laboratory research material — research vial format,In-vitro laboratory research material,Mitochondrial-derived peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,#MOTSC #LongevityResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No lifespan extension claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,21,,1,3-Bullet Benefits,,,,,,,
P-NAD-001,1-compounds-pens,NAD+,Cellular Research Peptide,Pen,NAD+ laboratory research material — pre-filled research format,In-vitro laboratory research material,Nicotinamide adenine dinucleotide,Trust / Quality,https://www.palmbeach-vitality.store/products/nad-pen-500mg,#NAD #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Also maps nad-500mg,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,22,,1,3-Bullet Benefits,,,,,,,
V-NAD-001,1-compounds-vials,NAD+,Cellular Research Peptide,Vial,NAD+ laboratory research material — research vial format,In-vitro laboratory research material,Nicotinamide adenine dinucleotide,Trust / Quality,https://www.palmbeach-vitality.store/products/nad-1,#NAD #LongevityResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No medical treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,23,,1,Hero Spotlight,,,,,,,
P-PT1-001,1-compounds-pens,PT-141,Hormonal Research Peptide,Pen,PT-141 laboratory research material — pre-filled research format,In-vitro laboratory research material,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141-pen,#PT141 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Sensitive category — educational tone only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,24,,1,FAQ Slide,,,,,,,
V-PT1-001,1-compounds-vials,PT-141,Hormonal Research Peptide,Vial,PT-141 laboratory research material — research vial format,In-vitro laboratory research material,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141,#PT141 #PeptideResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Sensitive category — educational tone only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,25,,1,FAQ Slide,,,,,,,
P-RET-001,1-compounds-pens,Retatrutide,Incretin Pathway Research Peptide,Pen,Retatrutide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutride-8mg-pen,#Retatrutide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site uses retatrutride slug typo; 48mg pen not on site yet,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,26,,1,Hero Spotlight,,,,,,,
V-RET-001,1-compounds-vials,Retatrutide,Incretin Pathway Research Peptide,Vial,Retatrutide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutide,#Retatrutide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,27,,1,Hero Spotlight,,,,,,,
P-SEL-001,1-compounds-pens,Selank,Cognitive Research Peptide,Pen,Selank laboratory research material — pre-filled research format,In-vitro laboratory research material,Synthetic tuftsin analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/selank-pen,#Selank #NootropicResearch #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No anxiety treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,28,,1,Hero Spotlight,,,,,,,
V-SEL-001,1-compounds-vials,Selank,Cognitive Research Peptide,Vial,Selank laboratory research material — research vial format,In-vitro laboratory research material,Synthetic tuftsin analog,Compare,https://www.palmbeach-vitality.store/products/selank,#Selank #NootropicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No anxiety treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,29,,1,Mechanism Carousel,,,,,,,
P-SEM-001,1-compounds-pens,Semaglutide,Incretin Pathway Research Peptide,Pen,Semaglutide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1 receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen,#Semaglutide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All month/dose tiers in ONE spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,30,,1,Hero Spotlight,,,,,,,
V-SEM-001,1-compounds-vials,Semaglutide,Incretin Pathway Research Peptide,Vial,Semaglutide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1 receptor agonist,Compare,https://www.palmbeach-vitality.store/products/semaglutide,#Semaglutide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,31,,1,Mechanism Carousel,,,,,,,
P-SMX-001,1-compounds-pens,Semax,Cognitive Research Peptide,Pen,Semax laboratory research material — pre-filled research format,In-vitro laboratory research material,ACTH(4-10) analog,Compare,https://www.palmbeach-vitality.store/products/semax-pen,#Semax #NootropicResearch #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,32,,1,Mechanism Carousel,,,,,,,
P-SER-001,1-compounds-pens,Sermorelin,GH Pathway Research Peptide,Pen,Sermorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,GHRH(1-29) analog,Mechanism,https://www.palmbeach-vitality.store/products/sermorelin-pen,#Sermorelin #PeptidePen #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,33,,1,Mechanism Carousel,,,,,,,
V-SER-001,1-compounds-vials,Sermorelin,GH Pathway Research Peptide,Vial,Sermorelin laboratory research material — research vial format,In-vitro laboratory research material,GHRH(1-29) analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/sermorelin,#Sermorelin #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use language only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,34,,1,Hero Spotlight,,,,,,,
P-SS3-001,1-compounds-pens,SS-31,Mitochondrial Research Peptide,Pen,SS-31 laboratory research material — pre-filled research format,In-vitro laboratory research material,Elamipretide / SS-31 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ss-31-pen,#SS31 #PeptidePen #MitochondrialResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,35,,1,3-Bullet Benefits,,,,,,,
V-SS3-001,1-compounds-vials,SS-31,Mitochondrial Research Peptide,Vial,SS-31 laboratory research material — research vial format,In-vitro laboratory research material,Elamipretide / SS-31 peptide,Mechanism,https://www.palmbeach-vitality.store/products/ss-31,#SS31 #MitochondrialResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,36,,1,Mechanism Carousel,,,,,,,
V-TB5-001,1-compounds-vials,TB-500,Research Peptide,Vial,TB-500 laboratory research material — research vial format,In-vitro laboratory research material,Actin-binding peptide research compound,Trust / Quality,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,37,,1,3-Bullet Benefits,,,,,,,
P-TES-001,1-compounds-pens,Tesamorelin,GH Pathway Research Peptide,Pen,Tesamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen,#Tesamorelin #PeptidePen #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All pen sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,38,,1,Hero Spotlight,,,,,,,
V-TES-001,1-compounds-vials,Tesamorelin,GH Pathway Research Peptide,Vial,Tesamorelin laboratory research material — research vial format,In-vitro laboratory research material,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin,#Tesamorelin #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,39,,1,Hero Spotlight,,,,,,,
P-TEI-001,1-compounds-pens,Tesamorelin/Ipamorelin,GH Pathway Research Blend,Pen,Tesamorelin/Ipamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,#Tesamorelin #Ipamorelin #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,40,,1,Mechanism Carousel,,,,,,,
P-TA1-001,1-compounds-pens,Thymosin Alpha-1,Immune Research Peptide,Pen,Thymosin Alpha-1 laboratory research material — pre-filled research format,In-vitro laboratory research material,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-2,#TA1 #PeptidePen #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen may be listed as ta-2 on site,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,41,,1,3-Bullet Benefits,,,,,,,
V-TA1-001,1-compounds-vials,Thymosin Alpha-1,Immune Research Peptide,Vial,Thymosin Alpha-1 laboratory research material — research vial format,In-vitro laboratory research material,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-1,#TA1 #Thymosin #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No immune disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,42,,1,3-Bullet Benefits,,,,,,,
P-TIR-001,1-compounds-pens,Tirzepatide,Incretin Pathway Research Peptide,Pen,Tirzepatide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide-10mg-pen,#Tirzepatide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All 10-60mg pen tiers in ONE spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,43,,1,Mechanism Carousel,,,,,,,
V-TIR-001,1-compounds-vials,Tirzepatide,Incretin Pathway Research Peptide,Vial,Tirzepatide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide,#Tirzepatide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,44,,1,Mechanism Carousel,,,,,,,
V-IPA-001,1-compounds-vials,Ipamorelin,GH Pathway Research Peptide,Vial,Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,Selective ghrelin receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Ipamorelin #PeptideVials #ResearchPeptides #PalmBeachVitality #LaboratoryResearch,Research use only; no anti-aging cure claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,45,,1,Hero Spotlight,,,,,,,
P-TB5-001,1-compounds-pens,TB-500,Research Peptide,Pen,TB-500 laboratory research material — pre-filled research format,In-vitro laboratory research material,Actin-binding peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,TB-500 pen page not found — using vial URL until pen page live,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,46,,1,3-Bullet Benefits,,,,,,,
V-TEI-001,1-compounds-vials,Tesamorelin/Ipamorelin,GH Pathway Research Blend,Vial,Tesamorelin/Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Tesamorelin #Ipamorelin #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Vial page not found on site — verify URL when live; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,47,,1,Mechanism Carousel,,,,,,,
