"scene_id","scene_category","scene_name","lab_environment","camera","lighting","product_hero","product_form_detail","compound_id","compound_name","canonical_url","scene_brief","caption_lock","status","rotation_order","last_used_date"
"LAB-054","lab_scene","Pharma cleanroom 054","sterile powder handling isolator suite for potent pharmaceutical actives — bay 2","wide isolator suite","cool contained-processing lighting","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-KPV-001","KPV","https://www.palmbeach-vitality.store/products/kpv","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: sterile powder handling isolator suite for potent pharmaceutical actives — bay 2. Camera: wide isolator suite. Lighting: cool contained-processing lighting. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: KPV (P-KPV-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about KPV (P-KPV-001) and its catalog listing.","Active","80",""
"LAB-119","vial_10ml_scene","Pharma lab + 10mL vial 119","terminal sterilization / autoclave support corridor for validated loads — bay 8","hallway wide into autoclave bay","clean industrial-pharma hybrid light","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-MT2-001","Melanotan 2","https://www.palmbeach-vitality.store/products/melonotan","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: terminal sterilization / autoclave support corridor for validated loads — bay 8. Camera: hallway wide into autoclave bay. Lighting: clean industrial-pharma hybrid light. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: Melanotan 2 (V-MT2-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Melanotan 2 (V-MT2-001) and its catalog listing.","Active","81",""
"LAB-090","lab_scene","Pharma cleanroom 090","aseptic connection / sterile tubing weld bay — bay 8","wide bay establishing shot","cool cleanroom rim with soft fill","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-BPC-001","BPC-157","https://www.palmbeach-vitality.store/products/bpc-157-pen","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: aseptic connection / sterile tubing weld bay — bay 8. Camera: wide bay establishing shot. Lighting: cool cleanroom rim with soft fill. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: BPC-157 (P-BPC-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about BPC-157 (P-BPC-001) and its catalog listing.","Active","82",""
"LAB-177","vial_10ml_scene","Pharma lab + 10mL vial 177","pharmaceutical batch-record kiosk corridor overlooking manufacturing suites — bay 9","wide corridor overlook into suites","warm-neutral softboxes, clean speculars","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-WOL-001","BPC-157 / TB-500","https://www.palmbeach-vitality.store/products/wolverine-stack","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: pharmaceutical batch-record kiosk corridor overlooking manufacturing suites — bay 9. Camera: wide corridor overlook into suites. Lighting: warm-neutral softboxes, clean speculars. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: BPC-157 / TB-500 (V-WOL-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about BPC-157 / TB-500 (V-WOL-001) and its catalog listing.","Active","83",""
"LAB-267","pen_3ml_scene","Pharma lab + 3mL pen 267","ISO 7 aseptic fill-finish suite with RABS isolator line and grade A filling zone — bay 14","elevated wide of the fill line and cleanroom envelope","cool sterile pharmaceutical white with soft HEPA wash","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-KLO-001","KPV / BPC-157 / TB-500 / GHK-Cu","https://www.palmbeach-vitality.store/products/klow-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: ISO 7 aseptic fill-finish suite with RABS isolator line and grade A filling zone — bay 14. Camera: elevated wide of the fill line and cleanroom envelope. Lighting: cool sterile pharmaceutical white with soft HEPA wash. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'KPV / BPC-157 / TB-500 / GHK-Cu' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001) and its catalog listing.","Active","84",""
"LAB-081","lab_scene","Pharma cleanroom 081","sterile lyophilization suite with production-scale freeze-dryer banks and clean aisle — bay 15","wide establishing shot of lyophilizer row","cool steel-blue GMP lighting with clean speculars","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-MOT-001","MOTS-C","https://www.palmbeach-vitality.store/products/mots-c","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: sterile lyophilization suite with production-scale freeze-dryer banks and clean aisle — bay 15. Camera: wide establishing shot of lyophilizer row. Lighting: cool steel-blue GMP lighting with clean speculars. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: MOTS-C (P-MOT-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about MOTS-C (P-MOT-001) and its catalog listing.","Active","85",""
"LAB-169","vial_10ml_scene","Pharma lab + 10mL vial 169","lyophilized-vial inspection booth row with black/white contrast stations — bay 2","wide inspection bay establishing shot","controlled high-contrast pharma inspection lighting","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-NAD-001","NAD+","https://www.palmbeach-vitality.store/products/nad-1","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: lyophilized-vial inspection booth row with black/white contrast stations — bay 2. Camera: wide inspection bay establishing shot. Lighting: controlled high-contrast pharma inspection lighting. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: NAD+ (V-NAD-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about NAD+ (V-NAD-001) and its catalog listing.","Active","86",""
"LAB-270","pen_3ml_scene","Pharma lab + 3mL pen 270","cold-chain pharmaceutical warehouse anteroom with validated cold rooms — bay 6","wide anteroom and cold-room doors","cool blue cold-chain GMP lighting","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-PT1-001","PT-141","https://www.palmbeach-vitality.store/products/pt-141-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: cold-chain pharmaceutical warehouse anteroom with validated cold rooms — bay 6. Camera: wide anteroom and cold-room doors. Lighting: cool blue cold-chain GMP lighting. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'PT-141' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: PT-141 (P-PT1-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about PT-141 (P-PT1-001) and its catalog listing.","Active","87",""
"LAB-085","lab_scene","Pharma cleanroom 085","weighing / dispense cleanroom with anti-vibration balances under local protection — bay 10","wide weighing suite","bright soft key, clean sterile fill","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-SEL-001","Selank","https://www.palmbeach-vitality.store/products/selank-pen","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: weighing / dispense cleanroom with anti-vibration balances under local protection — bay 10. Camera: wide weighing suite. Lighting: bright soft key, clean sterile fill. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: Selank (P-SEL-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Selank (P-SEL-001) and its catalog listing.","Active","88",""
"LAB-172","vial_10ml_scene","Pharma lab + 10mL vial 172","component prep room for sterile stoppers, seals, and depyrogenated vials — bay 11","wide component prep room","cool catalog GMP light","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-SER-001","Sermorelin","https://www.palmbeach-vitality.store/products/sermorelin","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: component prep room for sterile stoppers, seals, and depyrogenated vials — bay 11. Camera: wide component prep room. Lighting: cool catalog GMP light. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: Sermorelin (V-SER-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Sermorelin (V-SER-001) and its catalog listing.","Active","89",""
"LAB-275","pen_3ml_scene","Pharma lab + 3mL pen 275","CIP/SIP skid room supporting sterile manufacturing equipment — bay 4","wide CIP/SIP skid room","cool stainless utility lighting","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-TES-001","Tesamorelin","https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: CIP/SIP skid room supporting sterile manufacturing equipment — bay 4. Camera: wide CIP/SIP skid room. Lighting: cool stainless utility lighting. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'Tesamorelin' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: Tesamorelin (P-TES-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Tesamorelin (P-TES-001) and its catalog listing.","Active","90",""
"LAB-097","lab_scene","Pharma cleanroom 097","sanitary cleanroom return corridor with flush doors and vision panels — bay 12","wide return corridor","cool even sterile wash","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-SS3-001","SS-31","https://www.palmbeach-vitality.store/products/ss-31-pen","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: sanitary cleanroom return corridor with flush doors and vision panels — bay 12. Camera: wide return corridor. Lighting: cool even sterile wash. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: SS-31 (P-SS3-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about SS-31 (P-SS3-001) and its catalog listing.","Active","91",""
"LAB-183","vial_10ml_scene","Pharma lab + 10mL vial 183","validated freezer farm for pharmaceutical drug substance storage — bay 10","wide freezer farm aisle","cold blue storage lighting","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-TA1-001","Thymosin Alpha-1","https://www.palmbeach-vitality.store/products/ta-1","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: validated freezer farm for pharmaceutical drug substance storage — bay 10. Camera: wide freezer farm aisle. Lighting: cold blue storage lighting. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: Thymosin Alpha-1 (V-TA1-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Thymosin Alpha-1 (V-TA1-001) and its catalog listing.","Active","92",""
"LAB-283","pen_3ml_scene","Pharma lab + 3mL pen 283","fill-finish control room with window into Grade A zone — bay 11","wide control room looking into Grade A","dim control + bright cleanroom contrast","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-GLO-001","BPC-157 / TB-500 / GHK-Cu","https://www.palmbeach-vitality.store/products/glow-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: fill-finish control room with window into Grade A zone — bay 11. Camera: wide control room looking into Grade A. Lighting: dim control + bright cleanroom contrast. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'BPC-157 / TB-500 / GHK-Cu' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: BPC-157 / TB-500 / GHK-Cu (P-GLO-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about BPC-157 / TB-500 / GHK-Cu (P-GLO-001) and its catalog listing.","Active","93",""
"LAB-092","lab_scene","Pharma cleanroom 092","pharmaceutical cleanroom gowning bench corridor with step-over benches — bay 14","wide gowning corridor","high-key sterile white","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","P-CII-001","CJC (no DAC)/Ipamorelin","https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: pharmaceutical cleanroom gowning bench corridor with step-over benches — bay 14. Camera: wide gowning corridor. Lighting: high-key sterile white. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: CJC (no DAC)/Ipamorelin (P-CII-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about CJC (no DAC)/Ipamorelin (P-CII-001) and its catalog listing.","Active","94",""
"LAB-181","vial_10ml_scene","Pharma lab + 10mL vial 181","pharmaceutical cleanroom with flush LED ceiling and conductive flooring — bay 4","architectural wide of cleanroom volume","even high-key HEPA-bay lighting","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-GHK-001","GHK-Cu","https://www.palmbeach-vitality.store/products/ghk-cu","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: pharmaceutical cleanroom with flush LED ceiling and conductive flooring — bay 4. Camera: architectural wide of cleanroom volume. Lighting: even high-key HEPA-bay lighting. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: GHK-Cu (V-GHK-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about GHK-Cu (V-GHK-001) and its catalog listing.","Active","95",""
"LAB-286","pen_3ml_scene","Pharma lab + 3mL pen 286","sterile filtration skid room with 0.2 micron filter trains and pressure gauges — bay 3","wide architectural shot of filtration skids","cool clinical stainless lighting","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, cobalt blue ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright cobalt blue accent ring mid-barrel; white wrap-around label with blue stylized DNA double-helix graphic on the left of the label; compound name in large blue sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright cobalt blue textured/ribbed dial on the right end. Color family: GLP family (Semaglutide / Tirzepatide / Retatrutide) — BLUE accents. Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-SEM-001","Semaglutide","https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: sterile filtration skid room with 0.2 micron filter trains and pressure gauges — bay 3. Camera: wide architectural shot of filtration skids. Lighting: cool clinical stainless lighting. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright cobalt blue mid accent ring; white wrap label with blue DNA helix graphic; label text 'Semaglutide' in large blue type plus a smaller '3ml pen' secondary line; bright cobalt blue ribbed dial on right. ACCENT COLOR LOCK: BLUE (Semaglutide / Tirzepatide / Retatrutide only). Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: Semaglutide (P-SEM-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Semaglutide (P-SEM-001) and its catalog listing.","Active","96",""
