compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
P-TEI-001,Tesamorelin/Ipamorelin,GH Pathway Research Blend,Pen,Tesamorelin/Ipamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,#Tesamorelin #Ipamorelin #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,11,,1,Mechanism Carousel,,,,,,,
P-BPC-001,BPC-157,Research Peptide,Pen,BPC-157 laboratory research material — pre-filled research format,In-vitro laboratory research material,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157-pen,#BPC157 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,12,2026-07-27,1,Hero Spotlight,,,,,,, | Smoke-tested in n8n Buffer 2026-07-27
P-WOL-001,BPC-157 / TB-500,Multi-compound Research Blend,Pen,BPC-157 / TB-500 laboratory research material — pre-filled research format,In-vitro laboratory research material,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-pen,#BPC157 #TB500 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,13,,1,Mechanism Carousel,,,,,,,
P-CII-001,CJC (no DAC)/Ipamorelin,GH Pathway Research Blend,Pen,CJC (no DAC)/Ipamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1,#CJC1295 #Ipamorelin #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,14,,1,Mechanism Carousel,,,,,,,
P-DSI-001,DSIP,Neurological Research Peptide,Pen,DSIP laboratory research material — pre-filled research format,In-vitro laboratory research material,DSIP neuropeptide,FAQ,https://www.palmbeach-vitality.store/products/dsip-pen,#DSIP #PeptidePen #SleepResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,15,,1,FAQ Slide,,,,,,,
P-GHK-001,GHK-Cu,Cosmetic Research Peptide,Pen,GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,GHK copper peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ghk-cu-pen,#GHKCu #PeptidePen #CopperPeptide #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Cosmetic research framing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,16,,1,3-Bullet Benefits,,,,,,,
P-5AM-001,5-Amino-1MQ,Metabolic Research Peptide,Pen,5-Amino-1MQ laboratory research material — pre-filled research format,In-vitro laboratory research material,NNMT inhibitor research compound,Mechanism,https://www.palmbeach-vitality.store/products/5-amino-mq-pen,#5AminoMQ #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,17,,1,Mechanism Carousel,,,,,,,
P-GLO-001,BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Pen,BPC-157 / TB-500 / GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,Recovery and skin research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow-pen,#PeptidePen #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,18,,1,Hero Spotlight,,,,,,,
P-SS3-001,SS-31,Mitochondrial Research Peptide,Pen,SS-31 laboratory research material — pre-filled research format,In-vitro laboratory research material,Elamipretide / SS-31 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ss-31-pen,#SS31 #PeptidePen #MitochondrialResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,19,,1,3-Bullet Benefits,,,,,,,
P-KPV-001,KPV,Immune Research Peptide,Pen,KPV laboratory research material — pre-filled research format,In-vitro laboratory research material,KPV tripeptide,FAQ,https://www.palmbeach-vitality.store/products/kpv,#KPV #PeptidePen #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Also in KLOW blend — separate pen spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,20,,1,FAQ Slide,,,,,,,
P-SEM-001,Semaglutide,Incretin Pathway Research Peptide,Pen,Semaglutide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1 receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen,#Semaglutide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All month/dose tiers in ONE spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,21,,1,Hero Spotlight,,,,,,,
P-TIR-001,Tirzepatide,Incretin Pathway Research Peptide,Pen,Tirzepatide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide-10mg-pen,#Tirzepatide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All 10-60mg pen tiers in ONE spotlight,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,22,,1,Mechanism Carousel,,,,,,,
P-RET-001,Retatrutide,Incretin Pathway Research Peptide,Pen,Retatrutide laboratory research material — pre-filled research format,In-vitro laboratory research material,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutride-8mg-pen,#Retatrutide #GLP1 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site uses retatrutride slug typo; 48mg pen not on site yet,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,23,,1,Hero Spotlight,,,,,,,
