compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes,reel_video_url,buffer_ig_reel_id,buffer_fb_reel_id
P-DSI-001,DSIP,Sleep / Neurological,Pen,DSIP sleep research pen,Sleep pathway research,DSIP neuropeptide,FAQ,https://www.palmbeach-vitality.store/products/dsip-pen,#DSIP #PeptidePen #SleepResearch #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,15,,1,FAQ Slide,,,,,,5mg 3mL Pen,,,,
P-GHK-001,GHK-Cu,Skin / Cosmetic,Pen,GHK-Cu copper peptide pen,Skin and tissue research,GHK copper peptide,Wellness Angle,https://www.palmbeach-vitality.store/products/ghk-cu-pen,#GHKCu #PeptidePen #CopperPeptide #PalmBeachVitality,Cosmetic research framing,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,16,,1,3-Bullet Benefits,,,,,,50mg 3mL Pen,,,,
P-5AM-001,5 AMINO MQ,Longevity / Metabolic,Pen,5-Amino-1MQ research pen,Metabolic and longevity research,NNMT inhibitor research compound,Mechanism,https://www.palmbeach-vitality.store/products/5-amino-mq-pen,#5AminoMQ #PeptidePen #LongevityResearch #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,17,,1,Mechanism Carousel,,,,,,50mg Pen,,,,
P-GLO-001,GLOW,Recovery / Cosmetic Blend,Pen,GLOW three-compound blend pen,BPC-157 + TB-500 + GHK-Cu blend,Recovery and skin research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow-pen,#GLOW #PeptidePen #PeptideBlend #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,18,,1,Hero Spotlight,,,,,,10/10/50mg 3mL Pen,,,,
P-SS3-001,SS-31,Longevity / Mitochondrial,Pen,SS-31 mitochondrial peptide pen,Mitochondrial function research,Elamipretide / SS-31 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ss-31-pen,#SS31 #PeptidePen #MitochondrialResearch #PalmBeachVitality,No disease treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,19,,1,3-Bullet Benefits,,,,,,50mg Pen,,,,
P-KPV-001,KPV,Immune / Anti-Inflammatory,Pen,KPV anti-inflammatory research pen,Immune and gut research,KPV tripeptide,FAQ,https://www.palmbeach-vitality.store/products/kpv,#KPV #PeptidePen #ImmuneResearch #PalmBeachVitality,Also in KLOW blend — separate pen spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,20,,1,FAQ Slide,,,,,,10mg Pen,,,,
P-SEM-001,Semaglutide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Semaglutide pen program,Structured GLP-1 research program,GLP-1 receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen,#Semaglutide #GLP1 #PeptidePen #PalmBeachVitality,All month/dose tiers in ONE spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,21,,1,Hero Spotlight,,,,,,Month 1-6 pens 1.5mg through 15mg,,,,
P-TIR-001,Tirzepatide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Tirzepatide pen program,Structured dual-agonist research program,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide-10mg-pen,#Tirzepatide #GLP1 #PeptidePen #PalmBeachVitality,All 10-60mg pen tiers in ONE spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,22,,1,Mechanism Carousel,,,,,,10mg through 60mg pens,,,,
P-RET-001,Retatrutide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Retatrutide pen program,Structured triple-agonist research program,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutride-8mg-pen,#Retatrutide #GLP1 #PeptidePen #PalmBeachVitality,Site uses retatrutride slug typo; 48mg pen not on site yet,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,23,,1,Hero Spotlight,,,,,,8mg through 40mg pens on site,,,,
P-TB5-001,TB-500,Recovery / Healing,Pen,TB-500 recovery research pen,Recovery research support,Actin-binding peptide,Wellness Angle,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptidePen #RecoveryResearch #PalmBeachVitality,TB-500 pen page not found — using vial URL until pen page live,For research and educational purposes only. Not intended to diagnose or treat any condition.,Paused,9,,1,3-Bullet Benefits,,,,,,10mg 3mL Pen — no pen product page on site yet,,,,
