compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
V-CAG-001,Cagrilinitide,Incretin Pathway Research Peptide,Vial,Cagrilinitide laboratory research material — research vial format,In-vitro laboratory research material,Amylin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/cargrilinitide,#Cagrilinitide #MetabolicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site slug uses cargrilinitide spelling,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,14,,1,FAQ Slide,,,,,,,
V-CJC-001,CJC (no DAC),GH Pathway Research Peptide,Vial,CJC (no DAC) laboratory research material — research vial format,In-vitro laboratory research material,GHRH analog (no DAC),Mechanism,https://www.palmbeach-vitality.store/products/cjc,#CJC1295 #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,15,,1,Mechanism Carousel,,,,,,,
V-CII-001,CJC (no DAC)/Ipamorelin,GH Pathway Research Blend,Vial,CJC (no DAC)/Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#CJC1295 #Ipamorelin #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,16,,1,Mechanism Carousel,,,,,,,
V-GHK-001,GHK-Cu,Cosmetic Research Peptide,Vial,GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,GHK copper peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ghk-cu,#GHKCu #CopperPeptide #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Cosmetic research framing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,17,,1,3-Bullet Benefits,,,,,,,
V-GLO-001,BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Vial,BPC-157 / TB-500 / GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,BPC-157 + TB-500 + GHK-Cu research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow,#PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,18,,1,Hero Spotlight,,,,,,,
V-TA1-001,Thymosin Alpha-1,Immune Research Peptide,Vial,Thymosin Alpha-1 laboratory research material — research vial format,In-vitro laboratory research material,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-1,#TA1 #Thymosin #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No immune disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,19,,1,3-Bullet Benefits,,,,,,,
V-AOD-001,AOD-9604,Incretin Pathway Research Peptide,Vial,AOD-9604 laboratory research material — research vial format,In-vitro laboratory research material,GH fragment 176-191 analog,FAQ,https://www.palmbeach-vitality.store/products/aod-9604,#AOD9604 #MetabolicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No weight-loss guarantees,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,20,,1,FAQ Slide,,,,,,,
V-MT2-001,Melanotan 2,Specialty Research Peptide,Vial,Melanotan 2 laboratory research material — research vial format,In-vitro laboratory research material,Melanocortin receptor agonist,Trust / Quality,https://www.palmbeach-vitality.store/products/melonotan,#Melanotan2 #PeptideResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site slug uses melonotan spelling,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,21,,1,TikTok Reel Frame,,,,,,,
V-RET-001,Retatrutide,Incretin Pathway Research Peptide,Vial,Retatrutide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutide,#Retatrutide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,22,,1,Hero Spotlight,,,,,,,
V-TIR-001,Tirzepatide,Incretin Pathway Research Peptide,Vial,Tirzepatide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide,#Tirzepatide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,23,,1,Mechanism Carousel,,,,,,,
V-SEM-001,Semaglutide,Incretin Pathway Research Peptide,Vial,Semaglutide laboratory research material — research vial format,In-vitro laboratory research material,GLP-1 receptor agonist,Compare,https://www.palmbeach-vitality.store/products/semaglutide,#Semaglutide #GLP1 #MetabolicResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All vial sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,24,,1,Mechanism Carousel,,,,,,,
